Cantidad de Procesos,Hora de Inicio,Hora de Fin
100,45,2206.824208934041
100,46,2169.9530934757577
100,47,2219.2752012687224
100,48,2275.648947152942
100,49,2316.8540995538765
100,50,2588.268291753525
100,51,2399.161507095207
100,52,2575.7763361587463
100,53,2534.579854957733
100,54,2507.5031730198534
100,55,2557.676685640581
100,56,2568.7706926136616
100,57,2642.6753813939895
100,58,2687.2976460330797
100,59,2798.430543788186
100,60,2744.0809266095807
100,61,2792.011756685941
100,62,2727.023999704626
100,63,2742.056711622247
100,64,2763.6670279401988
100,65,2780.358783216546
100,66,2862.925031169146
100,67,2991.0892720965794
100,68,2826.107099815816
100,69,2929.524185541793
100,70,2855.738513374348
100,71,2903.625478783069
100,72,3041.5746448933314
100,73,2940.1951581959947
100,74,2962.9611596123427
100,75,2991.740993623828
100,76,3051.9536374954223
100,77,3098.946615556529
100,78,3195.5605950108884
100,79,3247.286174624084
100,80,3212.727324885104
100,81,3215.7510724374424
100,82,3134.490432139158
100,83,3221.8666421467333
100,84,3268.132891476866
100,85,3318.505424554633
100,86,3356.8121364165077
100,87,3459.3213025099312
100,88,3369.93308879496
100,89,3342.440006153651
100,90,3346.0403997955955
100,91,3445.282216305989
100,92,3466.522413709274
100,93,3424.424417318238
100,94,3493.0554242086955
100,95,3606.37113993834
100,96,3673.5618497780033
100,97,3532.261332728306
100,98,3552.209769044077
100,99,3696.004211658272
150,0,166.0579595686377
150,1,36.40306181589751
150,2,218.42271124133748
150,3,285.40761444951977
150,4,297.39067984916073
150,5,310.7033954656361
150,6,324.42626151723437
150,7,530.0848641249922
150,8,540.2409850710679
150,9,610.7880246856607
150,10,584.7827882374656
150,11,533.2515261597523
150,12,691.4617560519546
150,13,744.5792737019201
150,14,957.2670519089354
150,15,823.9505196546282
150,16,1098.6421371135393
150,17,902.2930644054777
150,18,1035.5726896083518
150,19,1118.5426948657016
150,20,1054.4102263512739
150,21,1295.6552609725218
150,22,1325.1369793205658
150,23,1286.6574861494846
150,24,1223.9637376746064
150,25,1409.2756448872747
150,26,1542.0901649724854
150,27,1574.5966600498812
150,28,1382.724886054178
150,29,1426.1723909500172
150,30,1732.3368363483003
150,31,1507.0914132496334
150,32,1764.6909251505053
150,33,1795.6368292759762
150,34,1642.7408289358696
150,35,1756.2155682636578
150,36,1738.595717407377
150,37,1835.317104417942
150,38,1939.4481489598768
150,39,1898.2225049326576
150,40,1902.6589141208526
150,41,2141.3050292942826
150,42,2226.8458128497464
150,43,2119.6443322184646
150,44,2042.5851620178485
150,45,2116.0875600635827
150,46,2204.9054055231754
150,47,2465.69981354676
150,48,2550.8417881507407
150,49,2468.2404076048656
150,50,2570.6762039580617
150,51,2516.950645944246
150,52,2423.7721940582455
150,53,2614.76122677304
150,54,2606.31705610672
150,55,2562.0305232085793
150,56,2738.629591853857
150,57,2673.5615080589314
150,58,2720.5518475224967
150,59,2628.49275989342
150,60,2698.4636334207726
150,61,2850.2766838911584
150,62,2889.3514415661907
