Cantidad de Procesos,Hora de Inicio,Hora de Fin
25,0,2.1551300569255534
25,1,3.328854827106994
25,2,28.854011616926346
25,3,10.78396583172469
25,4,13.180526965675607
25,5,18.814493190733785
25,6,45.38640413729533
25,7,51.72411497878665
25,8,34.79777333471893
25,9,45.23002687804042
25,10,73.48575258066839
25,11,81.76966433882465
25,12,83.4888587781566
25,13,64.66808883201988
25,14,98.2461255606755
25,15,94.14815632330902
25,16,107.48225974729067
25,17,110.64657517496984
25,18,95.50870510896921
25,19,104.34341262483501
25,20,108.55680619510476
25,21,120.90385308793266
25,22,125.69020056259599
25,23,135.62589307834915
25,24,124.82715811828172
50,0,0.34622613672625907
50,1,16.407999204077598
50,2,18.38376084745385
50,3,13.377983024393817
50,4,37.58238208995213
50,5,39.00609655922511
50,6,47.10907679784773
50,7,42.757102152347905
50,8,49.96335262919144
50,9,54.49164566472502
50,10,61.03056417141003
50,11,55.969441444210446
50,12,83.33935130318157
50,13,77.16226385566993
50,14,96.70953035482086
50,15,91.45462536457035
50,16,84.04320055434363
50,17,103.8022748708212
50,18,97.84805017261017
50,19,106.52917980354133
50,20,109.11415264246533
50,21,120.50942563359169
50,22,124.55335258362696
50,23,123.44255910715556
50,24,125.36653064310558
50,25,129.43927597591667
50,26,152.80568212793494
50,27,143.89701931555885
50,28,135.47979902933946
50,29,140.878530997472
50,30,147.33094834719205
50,31,176.94851108249506
50,32,157.571615009521
50,33,183.63291268955808
50,34,164.17054254315292
50,35,189.66873416520733
50,36,192.41011609812946
50,37,184.22821711709938
50,38,206.99258310556527
50,39,190.92108592614665
50,40,214.00462788608814
50,41,199.01510501950708
50,42,222.99633614668585
50,43,227.77549938089211
50,44,220.58738246911122
50,45,239.40503531056356
50,46,218.25313357679047
50,47,222.5682801329018
50,48,240.21432612598187
50,49,249.72265488596867
100,0,18.871539434221187
100,1,4.057612239488455
100,2,28.059071576921816
100,3,19.104941713997473
100,4,15.277149639190405
100,5,19.571936485389248
100,6,47.51692595430255
100,7,43.66519851308743
100,8,39.87225631015838
100,9,70.0159428395572
100,10,48.65753457022658
100,11,70.8489436774377
100,12,74.60718781056207
100,13,86.36778947684881
100,14,90.07208947766026
100,15,82.7805030075745
100,16,96.38226431788787
100,17,115.18779515193536
100,18,98.79851879071295
100,19,106.72086315010678
100,20,118.35496455397879
100,21,112.36039340803329
100,22,134.3370116234482
100,23,131.11787887167097
100,24,127.25411422162163
100,25,134.82874715550076
100,26,154.23465950261271
100,27,145.28050185216816
100,28,150.1607428069964
100,29,155.3779559902841
100,30,172.1094521266601
