Cantidad de Procesos,Hora de Inicio,Hora de Fin
25,0,20.951870477655028
25,1,21.427885638090483
25,2,82.00175976936535
25,3,87.92470869776051
25,4,166.63462941079266
25,5,91.96739802584108
25,6,173.8034526150217
25,7,156.65555871675522
25,8,226.52804462400474
25,9,215.49189684232402
25,10,290.3901489528282
25,11,315.0606496945348
25,12,269.6569406201313
25,13,330.4876767092119
25,14,311.96519240792844
25,15,452.41618513887164
25,16,494.96486522040664
25,17,365.760253531982
25,18,473.6827742882663
25,19,557.323745450709
25,20,448.4283633877736
25,21,667.8980117634795
25,22,548.4110592248287
25,23,703.9639222284552
25,24,741.6700416174474
50,0,1.798967409763557
50,1,66.31301598787645
50,2,82.74787817008237
50,3,114.2209956630249
50,4,119.23708447792967
50,5,192.37931755803953
50,6,216.82774119539567
50,7,157.96916884844197
50,8,258.6814069186777
50,9,243.02441017188514
50,10,225.27801571410532
50,11,246.40831295121743
50,12,283.0799354220235
50,13,336.3803173896839
50,14,362.20381731067226
50,15,483.53064612718754
50,16,503.1402862652184
50,17,534.4604810000387
50,18,543.0508146591893
50,19,505.0996372988507
50,20,599.5474019254121
50,21,677.1561683642594
50,22,652.4627964484755
50,23,710.2035016711801
50,24,683.4060862793184
50,25,786.4553406649142
50,26,761.6283022889011
50,27,831.2759951743473
50,28,837.988625062944
50,29,779.5669864165582
50,30,830.923199294788
50,31,843.5070989037608
50,32,849.6777227116298
50,33,964.5858426636132
50,34,934.2712622748053
50,35,961.3771612727327
50,36,965.0876823819183
50,37,946.9430451899116
50,38,978.3420474292658
50,39,1052.3262502310608
50,40,1002.345225676991
50,41,1014.9993131319083
50,42,1021.6569361554767
50,43,1173.0162131383793
50,44,1195.9632043311385
50,45,1199.7121918203152
50,46,1222.3300679070217
50,47,1222.0915242981528
50,48,1145.1596602813847
50,49,1196.8028875892005
100,0,69.49271653788952
100,1,134.61480791144277
100,2,85.04756064018724
100,3,51.94041654321225
100,4,162.3045688296892
100,5,115.88775247018744
100,6,147.4795625221356
100,7,248.04486963060273
100,8,262.4228845532262
100,9,240.70405805318418
100,10,303.6029238392598
100,11,251.31303169142925
100,12,407.6008312617888
100,13,334.9374319468067
