Cantidad de Procesos,Nombre,Hora de Inicio,Hora de Fin,Tiempo Total
25,Proceso(1),0,100.04906447106282,100.04906447106282
25,Proceso(2),0,147.51511184684756,147.51511184684756
25,Proceso(3),0,0,0
25,Proceso(4),0,149.97662046297032,149.97662046297032
25,Proceso(5),11.14257110296092,149.97662046297032,138.8340493600094
25,Proceso(6),11.822995871449521,149.97662046297032,138.15362459152078
25,Proceso(7),14.879172731121505,109.09803961141263,94.21886688029113
25,Proceso(8),14.879172731121505,14.879172731121505,0.0
25,Proceso(9),14.879172731121505,149.97662046297032,135.0974477318488
25,Proceso(10),15.671352504179657,109.09803961141263,93.42668710723298
25,Proceso(11),16.08784981036054,16.08784981036054,0.0
25,Proceso(12),16.08784981036054,149.97662046297032,133.88877065260976
25,Proceso(13),16.08784981036054,16.08784981036054,0.0
25,Proceso(14),16.08784981036054,16.08784981036054,0.0
25,Proceso(15),16.08784981036054,149.97662046297032,133.88877065260976
25,Proceso(16),34.96257040837295,149.97662046297032,115.01405005459736
25,Proceso(17),34.96257040837295,118.77279720295965,83.8102267945867
25,Proceso(18),60.62889528996707,149.97662046297032,89.34772517300325
25,Proceso(19),99.2323372134198,143.50748771436088,44.27515050094108
25,Proceso(20),99.76389967319626,149.97662046297032,50.21272078977405
25,Proceso(21),99.76389967319626,99.76389967319626,0.0
25,Proceso(22),99.76389967319626,99.76389967319626,0.0
25,Proceso(23),99.76389967319626,99.76389967319626,0.0
25,Proceso(24),99.76389967319626,149.97662046297032,50.21272078977405
25,Proceso(25),99.76389967319626,149.97662046297032,50.21272078977405
50,Proceso(1),0,273.35634602630995,273.35634602630995
50,Proceso(2),29.70733778955296,145.58633772928454,115.87899993973159
50,Proceso(3),29.70733778955296,145.58633772928454,115.87899993973159
50,Proceso(4),29.70733778955296,145.58633772928454,115.87899993973159
50,Proceso(5),29.70733778955296,360.2295231492906,330.52218535973765
50,Proceso(6),52.42740907194046,52.42740907194046,0.0
50,Proceso(7),52.42740907194046,52.42740907194046,0.0
50,Proceso(8),52.42740907194046,52.42740907194046,0.0
50,Proceso(9),52.42740907194046,288.6674057992278,236.23999672728735
50,Proceso(10),52.42740907194046,288.6674057992278,236.23999672728735
50,Proceso(11),52.42740907194046,360.2295231492906,307.80211407735015
50,Proceso(12),54.805475993092806,192.06677772599275,137.26130173289994
50,Proceso(13),59.09983782595974,59.09983782595974,0.0
50,Proceso(14),59.09983782595974,59.09983782595974,0.0
50,Proceso(15),59.09983782595974,360.2295231492906,301.1296853233309
50,Proceso(16),59.09983782595974,296.21570217199354,237.1158643460338
50,Proceso(17),96.82215399880087,296.21570217199354,199.39354817319267
50,Proceso(18),122.64842713510797,296.21570217199354,173.56727503688558
50,Proceso(19),122.64842713510797,226.73387080316382,104.08544366805586
50,Proceso(20),122.64842713510797,122.64842713510797,0.0
50,Proceso(21),122.64842713510797,122.64842713510797,0.0
50,Proceso(22),122.64842713510797,251.00030258958665,128.3518754544787
50,Proceso(23),122.64842713510797,122.64842713510797,0.0
50,Proceso(24),122.64842713510797,122.64842713510797,0.0
50,Proceso(25),122.64842713510797,329.86461317490307,207.2161860397951
50,Proceso(26),122.64842713510797,251.00030258958665,128.3518754544787
50,Proceso(27),122.64842713510797,251.00030258958665,128.3518754544787
50,Proceso(28),122.64842713510797,122.64842713510797,0.0
50,Proceso(29),122.64842713510797,122.64842713510797,0.0
50,Proceso(30),122.64842713510797,362.00224243355973,239.35381529845176
50,Proceso(31),130.051328375876,360.2295231492906,230.17819477341462
50,Proceso(32),130.051328375876,273.35634602630995,143.30501765043394
50,Proceso(33),130.051328375876,130.051328375876,0.0
50,Proceso(34),130.051328375876,273.35634602630995,143.30501765043394
50,Proceso(35),130.051328375876,362.00224243355973,231.95091405768372
50,Proceso(36),130.051328375876,273.35634602630995,143.30501765043394
50,Proceso(37),130.051328375876,273.35634602630995,143.30501765043394
50,Proceso(38),150.86247928460776,288.6674057992278,137.80492651462006
50,Proceso(39),150.86247928460776,288.6674057992278,137.80492651462006
50,Proceso(40),178.43656721512295,178.43656721512295,0.0
50,Proceso(41),178.9211808906047,360.2295231492906,181.30834225868594
50,Proceso(42),192.06677772599275,288.6674057992278,96.60062807323507
50,Proceso(43),192.06677772599275,362.00224243355973,169.93546470756698
50,Proceso(44),226.73387080316382,360.2295231492906,133.4956523461268
50,Proceso(45),226.73387080316382,360.2295231492906,133.4956523461268
50,Proceso(46),226.73387080316382,360.2295231492906,133.4956523461268
50,Proceso(47),251.00030258958665,362.00224243355973,111.00193984397308
50,Proceso(48),251.00030258958665,251.00030258958665,0.0
50,Proceso(49),251.00030258958665,362.00224243355973,111.00193984397308
50,Proceso(50),254.56109328524596,362.00224243355973,107.44114914831377
100,Proceso(1),0,112.97417244256972,112.97417244256972
100,Proceso(2),0,252.8769104526565,252.8769104526565
100,Proceso(3),1.585322404558586,252.8769104526565,251.2915880480979
100,Proceso(4),1.585322404558586,1.585322404558586,0.0
100,Proceso(5),1.585322404558586,132.4909288644044,130.9056064598458
100,Proceso(6),3.390493170153664,252.8769104526565,249.48641728250283
100,Proceso(7),17.05242012009564,132.4909288644044,115.43850874430876
100,Proceso(8),17.05242012009564,132.4909288644044,115.43850874430876
100,Proceso(9),17.05242012009564,252.8769104526565,235.82449033256086
100,Proceso(10),17.05242012009564,17.05242012009564,0.0
100,Proceso(11),17.05242012009564,17.05242012009564,0.0
100,Proceso(12),17.05242012009564,17.05242012009564,0.0
100,Proceso(13),17.05242012009564,178.15038512575893,161.0979650056633
