Cantidad de Procesos,Nombre,Hora de Inicio,Hora de Fin,Tiempo Total
25,Proceso(1),0,7.730041355458222,7.730041355458222
25,Proceso(2),2.1141721069538026,2.1141721069538026,0.0
25,Proceso(3),2.1141721069538026,2.1141721069538026,0.0
25,Proceso(4),2.1141721069538026,2.1141721069538026,0.0
25,Proceso(5),2.1141721069538026,2.1141721069538026,0.0
25,Proceso(6),2.1141721069538026,2.1141721069538026,0.0
25,Proceso(7),2.1141721069538026,2.1141721069538026,0.0
25,Proceso(8),2.1141721069538026,2.1141721069538026,0.0
25,Proceso(9),2.1141721069538026,2.1141721069538026,0.0
25,Proceso(10),2.1141721069538026,10.631979787362972,8.51780768040917
25,Proceso(11),3.7505551435512214,3.7505551435512214,0.0
25,Proceso(12),3.7505551435512214,3.7505551435512214,0.0
25,Proceso(13),3.7505551435512214,3.7505551435512214,0.0
25,Proceso(14),3.7505551435512214,10.631979787362972,6.8814246438117515
25,Proceso(15),4.462080015634076,10.631979787362972,6.169899771728897
25,Proceso(16),7.123513684267182,10.631979787362972,3.508466103095791
25,Proceso(17),7.730041355458222,7.730041355458222,0.0
25,Proceso(18),7.730041355458222,7.730041355458222,0.0
25,Proceso(19),7.730041355458222,10.631979787362972,2.9019384319047505
25,Proceso(20),7.730041355458222,10.631979787362972,2.9019384319047505
25,Proceso(21),7.730041355458222,10.631979787362972,2.9019384319047505
25,Proceso(22),8.121534964029415,8.121534964029415,0.0
25,Proceso(23),8.121534964029415,8.121534964029415,0.0
25,Proceso(24),8.121534964029415,10.631979787362972,2.5104448233335575
25,Proceso(25),10.631979787362972,10.631979787362972,0.0
50,Proceso(1),0,7.214598945006518,7.214598945006518
50,Proceso(2),0.8622115779397641,0.8622115779397641,0.0
50,Proceso(3),0.8622115779397641,0.8622115779397641,0.0
50,Proceso(4),0.8622115779397641,7.214598945006518,6.352387367066754
50,Proceso(5),2.92290133978263,2.92290133978263,0.0
50,Proceso(6),2.92290133978263,7.214598945006518,4.291697605223888
